input,output
Lab A,LFR
turn left and then walk forward and take the second right turn.,LFR
Get out of Lab A and walk towards the right side.Take the left as you cross the Lab B.,RFL
Go towards lab B and turn left near the washroom ,RFL
Turn right. Take second left. You can find somewhere in mid way .,RFL
Take the second left from Lab A and take the first right to reach the washroom,FLR
go straight take the first left after lab b and the next right,FLR
Proceed down the hallway and take a left after crossing lab B. Proceed along the hallway till the end and take a right and stop when the washroom is the building on your right.,FLR
Turn right at the end of lab B. Turn right at the end of hallway. Washroom is on the right.,FLR
"turn left, take the first right, and then walk until you are between the two rooms at the end of the hallway",LRF
Take the first left from Lab A move straight towards the end of the corridor. lab b will be on the right,RLF
take the first left and then walk until you are between the two rooms at the end of the hallway,RLF
Library ,LFR
"Turn left, keep going straight and take the second right,  and the go straight to reach the destination ",LFR
Turn left and then the second right. The stationary should be there,LFR
Turn left and go straight. Turn left at the end of Lab B. Turn right at the end of Kitchen. Go straight and washroom is on the left.,LLRF
"Turn left, take the first right, and go to the end of the corridor. Then take left and go to the entrance of Lab B.",LRFL
"Turn towards your left and go straight until you reach the first intersection. Then, take a sharp right and go straight till you reach the end of the hallway and take a sharp left. The first door on your left is Lab B.",LRFL
turn left and take the first right. Walk towards the end of the corridor and turn left.,LRFL
take first left after kitchen on your left and first right,RFLL
Take a right at the start location and head down the hallway and take a left after crossing lab B. Head down the hallway and take the first available left. Stop when lab B's entrance is to your left.,RFLL
Turn right.Take second left. Go straight till end of the corridor . Take left and stop in front of Lab B,RFLL
turn left now and take the immediate right. Then take the first left near stationary.,LRLF
Turn left and go straight. Turn right at the end of Library. Turn left at the end of Stationary. Go straight and lab A is on the left.,LRLF
Turn left now and take the first right near the kitchen. Proceed straight and turn right near lab A,LFLR
Take a left turn about lab B and head to the end of the hallway and take a right. Lab A's entrance is the first door on your right.,LFLR
"turn left, then take the first left turn and walk to the end of the hallway. then turn right and stop at the first room.",LFLR
Turn left and take the second right. Take a left and the door is to the left,LLFR
Head down the hallway and turn left after crossing lab A. Proceed along the hallway and take the first available right and then proceed to take the first available left. Stop when washroom is the building on your right.,LFRL
Take the second right from cafeteria and take the immediate left and again take the first left to reach lab B,FLRL
walk straight and take the second right. Then take the first left and again a first left after that,FLRL
Take second right. Then take first left.Take first left.Stop somewhere in mid way ,FLRL
Keep going straight and take the third left and then first right to reach ,FRLL
Take the third left and go to the end of the corridor.Take right and stop in front of washroom.,FRLL
"Go straight, take the third left, and go till the end of the corridor. Take a right and stop in front of the washroom entrance.",FFLR
"Continue straight and take the third left at lab B, move straight towards the end of corridor and turn right to reach the washroom",FFLR
walk straight and take the third left. Turn right at the end of the corridor,FFLR
Go straight till the washroom. Turn left and then right,FFLR
Take a left after the kitchen and go to the end of the corridor. Turn right and the washroom will be at the end,FRFL
"Go straight, take the second right, and go to the end of the corridor. Then take a left and stop in front of the Stationery entrance.",FLFR
Go straight and take the second right. Continue straight and take the second left.,FLFR
Take second right. Go straight till the end of the corridor.Take left.Stop infront of stationary door ,FLFR
"Exit the washrrom, walk right.After crossing Lab A take the left to reach Lab B.",FFRL
walk straight and take the second left. Walk all the way to the end of the corridor and turn right,FFRL
"After walking out of washroon, walk towards right.Once you cross Lab A take the right and then after crossing the stationary take left to reach library.",FRLF
Go straight. Take the second right and then first left.,FRLF
take the second right and then take a left turn at the end of the hallway. then walk straight until you reach the room at the end of the hallway,FRLF
"Turn to ur left and keep going until the first right, take the right and keep going straight till the end of hallway ",LRFF
turn left and then take the first right. walk until you are between the two rooms at the end of the hallway,LRFF
"Turn left, keep going straight down the hall and take the last right to reach the destination ",LFRF
"Step out of library,take the first left and then take another left near the stationary and you will be near the kitchen.",RRLF
take the first right after library next left towards stationary on left go striaght,RRLF
Take a right and proceed through the hallway. Take a right when you encounter the stationary building and then the first available left. Head down the hallway and stop when the kitchen is the building to your right.,RRLF
take the first right and last left,RRFL
"take corridor between lab b and washroom, take the last right to reach destination",RLFR
I am fed up of this,RLFR
