input	output
turn left and then walk forward and take the right turn.	left straight  right 
Turn right. Take second left. You can find somewhere in mid way .	right straight left
Take the second left from Lab A and take the first right to reach the washroom	straight left right 
go straight take the first left after lab b and the next right	straight  left  right 
Proceed down the hallway and take a left after crossing lab B. 	straight left
 Proceed along the hallway till the end and take a right and stop when the washroom is the building on your right.	straight  right 
Turn left at the end of lab B. Turn right at the end of hallway. Washroom is on the right.	straight left right 
turn left, take the first right, and then walk until you are between the two rooms at the end of the hallway	left right straight 
Take the first left from Lab A move straight towards the end of the corridor. lab b will be on the right	left straight 
take the first left and then walk until you are between the two rooms at the end of the hallway	left straight 
Turn left, keep going straight and take the second right,  and the go straight to reach the destination 	left straight  right 
Turn left and then the second right. The stationary should be there	left straight  right 
Turn left and go straight. Turn left at the end of Lab B. Take right at the end of Kitchen. Go straight and washroom is on the left.	left left right straight 
Turn left, take the first right, and go straight to the end of the corridor. Then take left and go to the entrance of Lab B.	left right straight left
Turn towards your left and go straight until you reach the first intersection.	left
Take a sharp right and go straight till you reach the end of the hallway and take a sharp left. The first door on your left is Lab B.	right straight left
turn left and take the first right. Walk towards the end of the corridor and turn left.	left right straight left
take first left after kitchen on your left and first right	right straight left left
Take a right at the start location and head down the hallway and take a left after crossing lab B.	right left
 Head down the hallway and take the first available left	left
Turn right.Take second left. Go straight till end of the corridor . Take left and stop in front of Lab B	right straight left left
turn left now and take the immediate right. Then take the first left near stationary.	left right left straight 
Turn left and go straight. Turn right at the end of Library. Turn left at the end of Stationary. Go straight and lab A is on the left.	left right left straight 
Take right and the second room to the left in middle hallway between kitchen and lab A	left right left straight 
Go left, take left after lab A, end of hall way take right. Washroom will be to your right.	right left straight left
Turn left now and take the first right near the kitchen. Proceed straight and turn right near lab A	left straight left right 
Take a left turn about lab B and head to the end of the hallway and take a right. Lab A's entrance is the first door on your right.	left straight left right 
turn left, then take the first left turn and walk to the end of the hallway. then turn right and stop at the first room.	left straight left right 
Get out of Lab B and take a left then take the first left and continue straight till the end of the corridor and take a right. Lab A should be right there.	left straight left right 
Turn left and take the second right. Take a left and the door is to the left	left left straight  right 
Head down the hallway and turn left after crossing lab A. 	left
Proceed along the hallway and take the first available right and then proceed to take the first available left. Stop near the washroom the building.	right left
Go straight, take the second left, then the first right, then the first left and the washroom should be on the right.	left straight  right left
Take the second right from cafeteria and take the immediate left and again take the first left to reach lab B	straight left right left
walk straight and take the second right. Then take the first left and again a first left after that	straight left right left
Take second right. Then take first left.Take first left.Stop somewhere in mid way	straight left right left
Keep going straight and take the third left and then first right to reach	straight  right left left
Take the third left and go to the end of the corridor.Take right and stop in front of washroom.	straight  right left left
Take the last before left and wash room entrance will be to your right	straight  right left left
Go straight, take the third left, and go till the end of the corridor. Take a right and stop in front of the washroom entrance.	straight straight left right 
Continue straight and take the third left at lab B, move straight towards the end of corridor and turn right to reach the washroom	straight straight left right 
walk straight and take the third left. Turn right at the end of the corridor	straight straight left right 
Go straight till the washroom. Turn left and then right	straight straight left right 
Take a left after the kitchen and go to the end of the corridor. Turn right and the washroom will be at the end	straight  right straight left
Go straight, take the second right, and go to the end of the corridor. Then take a left and stop in front of the Stationery entrance.	straight left straight  right 
Go straight and take the second right. Continue straight and take the second left.	straight left straight  right 
Take second right. Go straight till the end of the corridor.Take left.Stop infront of stationary door	straight left straight  right 
Exit the washrrom, walk right.After crossing Lab A take the left to reach Lab B.	straight straight  right left
walk straight and take the second left. Walk all the way to the end of the corridor and turn right	straight straight  right left
Go straight, take the second left, continue straight and at the end of the corridor, take a right and stop in front of Lab B	straight straight  right left
After walking out of washroon, walk towards right.Once you cross Lab A take the right and then after crossing the stationary take left to reach library.	straight  right left straight 
Go straight. Take the second right and then first left.	straight  right left straight 
take the second right and then take a left turn at the end of the hallway. then walk straight until you reach the room at the end of the hallway	straight  right left straight 
Go straight, take a right about Lab A, then turn left at the end of the corridor and continue straight and stop in front of the library.	straight  right left straight 
Turn to ur left and keep going until the first right, take the right and keep going straight till the end of hallway 	left right straight straight 
turn left and then take the first right. walk until you are between the two rooms at the end of the hallway	left right straight straight 
Go left and take first right. Third room to your left is Library.	left right straight straight 
Turn left, keep going straight down the hall and take the last right to reach the destination 	left straight  right straight 
Step out of library,take the first left and then take another left near the stationary and you will be near the kitchen.	right  right left straight 
take the first right after library next left towards stationary on left go striaght	right  right left straight 
Take a right and proceed through the hallway. 	right 
Take a right when you encounter the stationary building and then the first available left. Head down the hallway and stop when the kitchen is the building to your right.	straight  right left
Take first right and take first left the second room to your left is Lab A	right  right left straight 
take the first right and last left	right  right straight left
take corridor between lab b and washroom, take the last right to reach destination	right left straight  right 
I am fed up of this	right left straight  right 
Rotate 90 degrees in clockwise direction and go straight. Take the second right and reach the end of the hall. Take a right and stop near the door for lab A.	right straight left right 
Turn right and head straight. Take a left after the stationary and then turn right	right straight left right 
Exit the washroom, move towards left and take the right near lab B.After you cross Lab B take the right to cross the kitchen.	 right left right straight 
Rotate 90 degrees in clockwise direction, go straight until you reach the first hallway to your left. Take a sharp left and reach the first intersection. 	right left
Then take a sharp right and reach the intersection ahead. Then wait for the next instruction.	right straight 
